Aroostook	361	187
Piscataquis	215	300
Somerset	159	360
Franklin	109	373
Oxford	66	435
Kennebec	143	420
Penobscot	268	356
Washington	421	367
Waldo	237	404
Hancock	309	391
Knox	226	450
Lincoln	168	471
Androscoggin	99	452
Cumberland	96	512
Sagadahoc	143	478
York	43	539
