Aroostook	1288
Piscataquis	347
Somerset	1693
Franklin	721
Oxford	1592
Kennebec	3803
Penobscot	4778
Washington	648
Waldo	729
Hancock	1100
Knox	846
Lincoln	 611
Androscoggin	3431
Cumberland	7802
Sagadahoc	795
York	4889
